key;en-us;es-AR;
language_code-ISO;en-US;es-AR;
language_code-google;en;es;
language_name;English (en-US);Español (Argentina);
Warning;Warning;Advertencia;
Error;Error;Error;
Info;Info;Información;
OK;OK;Aceptar;
Exit;Exit;Salir;
Close;Close;Cerrar;
Add;Add;Agregar;
Edit;Edit;Editar;
Save;Save;Guardar;
Save as...;Save as...;Guardar como...;
Back;Back;Atrás;
Delete;Delete;Eliminar;
Cancel;Cancel;Cancelar;
Select;Select;Seleccionar;
Explore to...;Explore to...;Explorar en...;
Previous;Previous;Anterior;
Next;Next;Siguiente;
Done;Done;Listo;
Reset;Reset;Restablecer;
Import;Import;Importar;
Export;Export;Exportar;
Name;Name;Nombre;
File Name;File Name;Nombre de archivo;
Test;Test;Probar;
Reconnect;Reconnect;Reconectar;
Dismiss;Dismiss;Descartar;
Lock;Lock;Bloquear;
Always on top;Always on top;Siempre visible;
Close all;Close all;Cerrar todo;
Rename;Rename;Cambiar nombre;
Connect;Connect;Conectar;
Connect (New window);Connect (New window);Conectar (Nueva ventana);
Note;Note;Nota;
Share;Share;Compartir;
Copy;Copy;Copiar;
Enabled;Enabled;Habilitado;
Helper;Helper;Asistente;
Preview;Preview;Vista previa;
Theme;Theme;Tema;
Color;Color;Color;
Color1;Color1;Color 1;
Color2;Color2;Color 2;
Background;Background;Fondo;
Normal;Normal;Normal;
Lighter;Lighter;Más claro;
Darker;Darker;Más oscuro;
Font;Font;Fuente;
Font size;Font size;Tamaño de fuente;
Themes;Themes;Temas;
Options;Options;Opciones;
About;About;Acerca de;
Language;Language;Idioma;
Startup;Startup;Inicio;
Tags;Tags;Etiquetas;
Press Enter to add a tag, which is used for grouping servers. By right-clicking on the tags on the homepage, you can filter or pin a specific tag.;Press Enter to add a tag, which is used for grouping servers. By right-clicking on the tags on the homepage, you can filter or pin a specific tag.;"Presioná Enter para agregar una etiqueta; se usan para agrupar servidores. Al hacer clic derecho en las etiquetas de la página de inicio, podés filtrar o fijar una etiqueta específica.";
Icon;Icon;Ícono;
Hostname;Hostname;Nombre de host;
Target;Target;Destino;
Port;Port;Puerto;
User;User;Usuario;
Password;Password;Contraseña;
Selected;Selected;Seleccionado;
Custom;Custom;Personalizado;Personalizado
All;All;Todo;
Protocol;Protocol;Protocolo;
Cameras;Cameras;Cámaras;
Upload;Upload;Subir;
filter_mainwindow;Keywords or '#' + tag name or 'Tab' key;Palabras clave o '#' + etiqueta o tecla 'Tab';
Search (Ctrl+F);Search (Ctrl + F);Buscar (Ctrl + F);
hotkey_already_registered;Hot key already been registered;El atajo de teclado ya está registrado;
hotkey_registered_fail;Failed to register the hot key;Error al registrar el atajo de teclado;
string_permission_denied;Permission denied;Permiso denegado;
file_transmit_host_list_header_last_update;Last update;Última act.;
Type;Type;Tipo;
file_transmit_host_list_header_size;Size;Tamaño;
file_transmit_host_message_preview_over_size;This item is over 1 MB, are you sure you want to open it?;Este elemento pesa más de 1 MB, ¿estás seguro de que querés abrirlo?;
file_transmit_host_message_files_download_to;Please select a folder to save to;Por favor seleccioná una carpeta para guardar;
file_transmit_host_message_files_download_to_dir;Use this folder;Usar esta carpeta;
file_transmit_host_message_select_files_to_upload;Please select files to upload;Por favor seleccioná archivos para subir;
file_transmit_host_command_refresh;Refresh (F5);Actualizar (F5);
Create a folder;Create a folder;Crear una carpeta;
file_transmit_host_command_upload;Upload (Ctrl + V);Subir (Ctrl + V);
file_transmit_host_command_select_files_upload;Select files to upload;Seleccionar archivos para subir;
file_transmit_host_command_select_folder_upload;Select a folder to upload;Seleccionar una carpeta para subir;
file_transmit_host_command_delete;Delete (Del);Eliminar (Del);
file_transmit_host_command_save_to;Save to... (Ctrl + S);Guardar en... (Ctrl + S);
file_transmit_host_warning_same_names_title;Replace or cancel;Reemplazar o cancelar;
file_transmit_host_warning_same_names;The destination has {0} file(s) with the same name(s). Do you want to continue?;El destino tiene {0} archivo(s) con el mismo nombre. ¿Querés continuar?;
host_reconecting_info;Reconnecting...;Reconectando...;
system_options_general_title;General;General;
Run automatically at OS startup;Run automatically at OS startup(minimized);Ejecutar automáticamente al iniciar el SO (minimizado);
Confirm before closing;Confirm before closing;Confirmar antes de cerrar;
Show current session icon instead of the app icon when connected;Show current session icon instead of the app icon when connected;Mostrar ícono de sesión actual en vez de la app al conectar;
system_options_general_log_file_path;Log file;Archivo de registro;
system_options_quick_match_providers;Keyword-Matchers;Coincidencia de palabras clave;
Launcher;Launcher;Lanzador;
system_options_quick_launcher_enable;Enable the launcher;Habilitar el lanzador;
system_options_quick_launcher_hotkey;Hot key;Atajo de teclado;
system_options_data_security_database;Database;Base de datos;
Caution: Your data will be saved unencrypted!;Caution: Your data will be saved unencrypted!;¡Precaución: Tus datos se guardarán sin encriptar!;
system_options_data_security_info_data_processing;Processing data. Do not close the app!;Procesando datos. ¡No cierres la aplicación!;
Duplicate;Duplicate;Duplicar;
server_card_operate_copy_address;Copy hostname to clipboard;Copiar nombre de host al portapapeles;
server_card_operate_copy_username;Copy username to clipboard;Copiar usuario al portapapeles;
server_card_operate_copy_password;Copy password to clipboard;Copiar contraseña al portapapeles;
confirm_to_delete;Are you sure you want to delete?;¿Estás seguro de que querés eliminarlo?;
confirm_to_delete_selected;Are you sure you want to delete all selected?;¿Estás seguro de que querés eliminar la selección?;
import_server_dialog_title;Select a file;Seleccionar un archivo;
import_from_json;import json;importar json;
import_from_mremoteng_csv;import mRemoteNG csv;importar csv mRemoteNG;
import_from_rdp_file;import *.rdp;importar *.rdp;
import_from_sqlite_db;import PRemoteM db;importar PRemoteM db;
import_done_0_items_added;Imported successfully, {0} item(s) added.;Importación exitosa, {0} elemento(s) agregado(s).;
import_failure_with_data_format_error;Error data format!;¡Error de formato de datos!;
server_editor_different_options;<different options>;<opciones diferentes>;
server_editor_bulk_editing;Bulk editing;Edición masiva;
server_editor_bulk_editing_title;You are editing in bulk:;Estás editando masivamente:;
server_editor_multi_selected_count;Number of selected items:;Cantidad de elementos seleccionados:;
server_editor_group_title_common;Common;Común;
Connection Info;Connection Info;Info de conexión;
Connection Settings;Connection;Conexión;
server_editor_group_title_display;Display;Pantalla;
server_editor_group_title_advantage;Advantage;Avanzado;
server_editor_group_title_gateway;RD Gateway Server;Servidor Gateway RD;
server_editor_tags_tag;Can enter multiple, separated by ',';Podés ingresar varias, separadas por ',';
Script before connect;Script before connect;Script antes de conectar;
Hide script window;Hide script window(not recommended for script take long time);Ocultar ventana de script (no recomendado si tarda mucho);
Script after disconnected;Script after disconnected;Script después de desconectar;
Run bat before connect;Run bat before connect(e.g. run 'C:\OpenSshTunneling.bat');Ejecutar bat antes de conectar (ej. 'C:\OpenSshTunneling.bat');
Run bat after disconnected;Run bat after disconnected(e.g. run 'C:\CloseSshTunneling.bat');Ejecutar bat después de desconectar (ej. 'C:\CloseSshTunneling.bat');
Use private key;Use private key;Usar clave privada;
Private key;Private key;Clave privada;
Open SFTP when connected;Open SFTP when connected;Abrir SFTP al conectar;
Open SFTP;Open SFTP;Abrir SFTP;
server_editor_display_full_screen_flag;Full screen remote desktop;Escritorio remoto pantalla completa;
server_editor_display_full_screen_flag_window;Disable;Deshabilitar;
server_editor_display_full_screen_flag_full_screen;Enable (single monitor);Habilitar (un monitor);
server_editor_display_full_screen_flag_all_screens;Enable (multi monitors);Habilitar (multimonitor);
Display the connection bar when use the full screen;Display the connection bar when use the full screen;Mostrar barra de conexión en pantalla completa;
Pin the connection bar by default;Pin the connection bar by default;Fijar la barra de conexión por defecto;
New session always use full screen;New session always use full screen;Nuevas sesiones siempre en pantalla completa;
New session use full screen if the last session is full screen;New session use full screen if the last session is full screen;Usar pantalla completa si la última sesión lo estaba;
Resolution;Resolution;Resolución;
Fit to window;Fit to window(Supported server: Windows Server 2012 R2 and above);Ajustar a la ventana (Servidor: Win 2012 R2 o sup.);
Custom resolution (stretch);Custom resolution (stretch);Resolución personalizada (estirar);
Custom resolution (fixed);Custom resolution (fixed);Resolución personalizada (fija);
Full-screen resolution (stretch);Full-screen resolution (stretch);Resolución pantalla completa (estirar);
Full-screen resolution (fixed);Full-screen resolution (fixed);Resolución pantalla completa (fija);
Scale;Scale;Escala;
server_editor_display_rdp_performance;Performance;Rendimiento;
server_editor_display_rdp_performance_auto;Auto (judged based on connection speed);Auto (según velocidad de conexión);
server_editor_display_rdp_performance_high;High (32bit color with full feature support);Alto (color 32bit, funciones completas);
server_editor_display_rdp_performance_middle;Middle (16bit color with only font smoothing and desktop composition);Medio (color 16bit, suavizado de fuentes);
server_editor_display_rdp_performance_low;Low (8bit color with no feature support);Bajo (color 8bit, sin funciones extra);
server_editor_advantage_admin;For administering a server;Para administrar un servidor;
server_editor_advantage_resources;Resources;Recursos;
server_editor_advantage_clipboard;Clipboard;Portapapeles;
server_editor_advantage_key_combinations;Key Combinations;Combinaciones de teclas;
server_editor_advantage_disk_drives;Drives;Unidades;
Drives plug in later;Drives plug in later;Unidades conectadas después;
server_editor_advantage_sounds;Sounds;Sonidos;
server_editor_advantage_sounds_disabled;Disabled;Deshabilitado;
server_editor_advantage_sounds_on_local;Play on local;Reproducir en local;
server_editor_advantage_sounds_on_remote;Play on remote;Reproducir en remoto;
server_editor_advantage_sound_quality;Sound Quality;Calidad de sonido;
server_editor_advantage_sound_quality_dynamic;Dynamic;Dinámica;
server_editor_advantage_sound_quality_medium;Medium;Media;
server_editor_advantage_sound_quality_high;High;Alta;
server_editor_advantage_audio_capture;Audio Capture;Captura de audio;
server_editor_advantage_ports;Ports;Puertos;
server_editor_advantage_printers;Printers;Impresoras;
server_editor_advantage_smart_cards;Smart Cards;Tarjetas inteligentes;
server_editor_advantage_ssh_version;SSH Version;Versión SSH;
server_editor_advantage_ssh_startup_auto_command;Auto command;Comando automático;
server_editor_advantage_ssh_startup_auto_kitty_session_tip;Use external configuration by selecting a session file path for KiTTY;Usar config externa seleccionando ruta de sesión KiTTY;
server_editor_advantage_sftp_startup_path;Startup path;Ruta de inicio;
server_editor_gateway_mode;Connection;Conexión;
server_editor_gateway_mode_automatically_detect;Automatically detect RD Gateway Server settings;Detectar configuración de RD Gateway Server automáticamente;
server_editor_gateway_mode_use_these;Use the following RD Gateway Server settings;Usar la siguiente configuración de RD Gateway Server;
server_editor_gateway_mode_do_not_use;Do not use RD Gateway Server;No usar RD Gateway Server;
server_editor_gateway_server_host_name;Host Name;Nombre de host;
server_editor_gateway_logon_method;Logon Method;Método de inicio de sesión;
server_editor_gateway_logon_method_psw;Password;Contraseña;
server_editor_gateway_logon_method_smart_card;Smart Card;Tarjeta inteligente;
server_editor_gateway_bypass_gateway_for_local_address;Bypass RD Gateway Server for local address;Omitir RD Gateway Server para direcciones locales;
How to select the specified monitors;How to select the specified monitors;Cómo seleccionar monitores específicos;
mstsc.exe mode;mstsc.exe mode;modo mstsc.exe;
In this mode RDP will start the session in the way mstsc.exe xxxx.rdp in CMD, it can offer more custom parameters.;In this mode RDP will start the session in the way 'mstsc.exe xxxx.rdp' in CMD, it can offer more custom parameters.;En este modo RDP inicia sesión como 'mstsc.exe xxxx.rdp' en CMD, ofrece más parámetros.;
Note: This mode will be automatically enabled if there are 2+ monitors with different display scaling on your PC and you selected the full screen mode.;Note: This mode will be automatically enabled if there are 2+ monitors with different display scaling on your PC and you selected the full screen mode.;Nota: Se habilita automáticamente si hay mas de 2 monitores con distinta escala y elegís pantalla completa.;
Additional settings;Additional settings;Configuración adicional;
Preview rdp file;Preview rdp file;Vista previa archivo rdp;
Check monitor number;Check monitor number;Verificar número de monitor;
server_editor_remote_app_name;App Name;Nombre de la Aplicación;
server_editor_remote_app_name_tag;Name of the app (e.g. hello);Nombre de la aplicación (ej. hola);
server_editor_remote_app_fullname;App Path;Ruta de la Aplicación;
server_editor_remote_app_fullname_tag;Full exe path on the server (e.g. C:\Apps\hello.exe);Ruta completa del ejecutable en el servidor (ej. C:\Apps\hola.exe);
about_page_how_to_use;How to use;Cómo usar;
about_page_feedback;Feedback;Comentarios;
guidance_introduce;1Remote allows you to open a remote session at any time and anywhere.;1Remote te permite abrir una sesión remota donde y cuando quieras.;
guidance_feature_launcher_key;call the launcher by;invocar lanzador con;
guidance_feature_launcher_select;select item by;seleccionar elemento con;
guidance_feature_launcher_connect;connect by;conectar con;
guidance_feature_launcher_menu;menu by;menú con;
guidance_feature_tab_demo;Dragable, tearable, dockable remote session for RDP, SSH, VNC, sFTP...;Sesión remota arrastrable, desmontable y acoplable para RDP, SSH, VNC, sFTP...;
guidance_feature_start_setting1;Please confirm some settings before first use.;Por favor confirmá algunas configuraciones antes de empezar.;
guidance_feature_start_setting2;You are able to change this setting later in Options.;Podés cambiar esto después en Opciones.;
Portable mode;Portable mode;Modo portable;
Profile is saved where executable is located;Profile is saved where executable is located;Perfil guardado donde está el ejecutable;
Install for current windows account;Install for current windows account;Instalar para la cuenta actual de Windows;
Profile is saved in your Windows AppData folder;Profile is saved in your Windows AppData folder;Perfil guardado en tu carpeta AppData;
word_oops;Oops...;Uy...;
error_report_unexpected_error_occurred;Unexpected error occurred. Error info is shown below:;Ocurrió un error inesperado. Abajo se muestra la info del error:;
error_report_to_clipboard;Copy to clipboard;Copiar al portapapeles;
error_report_please_help_us_improve;Please help us improve 1Remote by reporting this error.;Ayudanos a mejorar 1Remote reportando este error.;
error_report_how_help_us_improve;Simply copy the error message and choose a way to report it.;Solo copiá el mensaje de error y elegí cómo reportarlo.;
error_report_send_by_email;Send by e-mail;Enviar por e-mail;
error_report_send_by_github;Send by GitHub;Enviar por GitHub;
logo_selector_open_file_dialog_title;select a picture;seleccionar una imagen;
Default;Default;Predeterminado;
Exe path;Exe path;Ruta Ejecutable;
Cmd parameter;CMD parameter;Parámetro CMD;
New runner name;New runner name;Nuevo nombre de ejecutor;
Can not be empty!;Can not be empty!;¡No puede estar vacío!;
Hosting;Hosting;Alojamiento;
Hosting this exe in 1Remote tab view?;Hosting this exe in 1Remote tab windowView?;¿Alojar este ejecutable en la vista de pestañas de 1Remote?;
Caution: some exe can not be hosted in 1Remote.;Caution: some exe can not be hosted by 1Remote, please test by your self.;Precaución: algunos ejecutables no se pueden alojar en 1Remote, probalo vos mismo.;
Show environment variables;Show environment variables;Mostrar variables de entorno;
Add environment variables;Add environment variables;Agregar variables de entorno;
write permissions alert;"We don't have write permissions for the `{0}` directory!
Please try:
1. run as administrator
2. change directory or file permissions 
3. move 1Remote to another folder";¡No tenemos permisos de escritura en el directorio `{0}`!                                Por favor intentá:                                                                                                       1. ejecutar como admin                                                                                            2. cambiar permisos                                                                                                   3. mover 1Remote a otra carpeta;
Follow system;Follow system(Supported server: Windows Server 2012 R2 and above);Seguir sistema (Versiones Soportadas: Windows Server 2012 R2 o superior);
tag_tooltips;click : set this tag as filter{0}Ctrl + click : add this tag to the include list {0}Alt + click : add this tag to the exclude list;clic : filtrar por esta etiqueta{0}Ctrl + clic : agregar a lista de inclusión{0}Alt + clic : agregar a lista de exclusión;
Are you sure you want to close the connection?;Are you sure you want to close the connection?;¿Seguro que querés cerrar la conexión?;
Hi there,;Hi there,;Hola,;
I hope that you find this app useful. If you would like to support my work, you can buy me a coffee or give a nice review. Thanks!;I hope that you find this app useful. If you would like to support my work, you can buy me a coffee or give a nice review. Thanks!;Espero que esta app te sea útil. Si querés apoyar mi trabajo, podés invitarme un café o dejar una buena reseña. Gracias!;
Give suggestions;Give suggestions;Dar sugerencias;
Buy a coffee;Buy a coffee;Comprar un café;
Give nice review;Give nice review;Dar buena reseña;
Do not show this again in current version;Do not show this again in current version;No mostrar de nuevo en esta versión;
User profile;User profile;Perfil de usuario;
Selected runner;Selected runner;Ejecutor seleccionado;
Login with password;Login with password;Entrar con contraseña;
Login with ssh private key;Login with ssh private key;Entrar con clave privada SSH;
Supports the Putty-key only;Supports the Putty-key only;Solo soporta clave Putty;
Supports the OpenSSH format key only with the internal SFTP client.;Supports the OpenSSH format key only with the internal SFTP client.;Soporta clave OpenSSH solo con cliente SFTP interno.;
Supports the OpenSSH format key and Putty-key with WinSCP.;Supports the OpenSSH format key and Putty-key with WinSCP.;Soporta claves OpenSSH y Putty con WinSCP.;
Environment variables;Environment variables;Variables de entorno;
Before runner start the environment variables will be set;Befor runner start the environment variables will be set;Se establecerán antes de iniciar el ejecutor;
Data Source name;Data Source name;Nombre de Fuente de Datos;
Please select a Data Source;Please select a Data Source;Por favor seleccioná una Fuente de Datos;
Test connection;Test connection;Probar conexión;
Show XXX button;Show `{0}` button;Mostrar botón `{0}`;
Show recently used here;Show recently used here;Mostrar recientes aquí;
Hide recently used;Hide recently used;Ocultar recientes;
Leave blank to inherit the default value;Leave blank to inherit the default value;Dejar en blanco para heredar el valor por defecto;
Alternative;Alternative;Alternativa;
with alternative;with alternative;con alternativa;
Automatic address switching;Automatic address switching;Cambio automático de dirección;
Availability detection;Availability detection;Detección de disponibilidad;
Check if address is available before connect;Check if address is available before connect;Verificar disponibilidad antes de conectar;
When the default host or port is unavailable the alternate addresses will be tried in sequence;When the default host or port is unavailable the alternate addresses will be tried in sequence;Cuando el host o puerto por defecto no está disponible, se probarán las alternativas en secuencia;
support multi-address multi-account;support multi-address multi-account;soporte multi-dirección multi-cuenta;
We are not able to connect to xxx;We are not able to connect to `{0}`!;¡No podemos conectar a `{0}`!;
XXX is already existed!;`{0}` is already existed!;¡`{0}` ya existe!;
XXX is not existed!;`{0}` is not existed!;¡`{0}` no existe!;
Show credentials info;Show credentials info;Mostrar info de credenciales;
Sorting;Sorting;Ordenar;
Sort by drag;Sort by drag;Ordenar arrastrando;
We can not connect database:;We can not connect database:;No podemos conectar a la base de datos:;
We can not create tables on database:;We can not create tables on database:;No podemos crear tablas en la base de datos:;
We can not insert into database:;We can not insert into database:;No podemos insertar en la base de datos:;
We can not update on database:;We can not update on database:;No podemos actualizar en la base de datos:;
We can not read from database:;We can not read from database:;No podemos leer de la base de datos:;
We can not select from database:;We can not select from database:;No podemos seleccionar de la base de datos:;
We can not delete from database:;We can not delete from database:;No podemos eliminar de la base de datos:;
because:;because:;porque:;
Pause;Pause;Pausa;
Updating;Updating;Actualizando;
Reconnecting;Reconnecting;Reconectando;
Next update check;Next update check;Próximo chequeo de actualización;
Next auto reconnect;Next auto reconnect;Próxima reconexión automática;
Pin;Pin;Fijar;
Unpin;Unpin;Desfijar;
This is your list of tags. Right click for a context menu to pin them on header.;This is your list of tags. Right click for a context menu to pin them on header.;Esta es tu lista de etiquetas. Clic derecho para menú contextual y fijarlas en el encabezado.;
Create desktop shortcut;Create desktop shortcut;Crear acceso directo;
Success;Success;Éxito;
Failed;Failed;Falló;
Please complete the windows credentials verification;Please complete the windows credentials verification;Completá la verificación de credenciales de Windows;
Enter your credentials;Enter your credentials;Ingresá tus credenciales;
Before proceeding with sensitive operations, we need to make sure it is you.;Before proceeding with sensitive operations, we need to make sure it is you.;Antes de proceder con operaciones sensibles, necesitamos asegurarnos de que sos vos.;
Verification failed. Please try again.;Verification failed. Please try again.;Falló la verificación. Intentá de nuevo.;
Security;Security;Seguridad;
Windows credentials verification is required to view passwords;Windows credentials verification is required to view passwords;Se requiere verificación de credenciales de Windows para ver contraseñas;
Not existed;Not existed;No existe;
Not a number;Not a number;No es un número;
Optional;Optional;Opcional;
Nullable;Nullable;Anulable;
Selections;Selections;Selecciones;
Const value;Const value;Valor constante;
Description;Description;Descripción;
Prefix;Prefix;Prefijo;
append blank after prefix;append blank after prefix;agregar espacio tras prefijo;
append blank after value;append blank after value;agregar espacio tras valor;
Do you want to replace the current parameter list with preset value?;Do you want to replace the current parameter list with preset value?;¿Querés reemplazar la lista de parámetros actual con el valor preestablecido?;
One option per line;One option per line;Una opción por línea;
Use vertical lines to separate descriptions;Use vertical lines to separate descriptions(value|description);Usá líneas verticales para separar descripciones (valor|descripción);
Automatically focus on the content when selecting a tab;Automatically focus on the content when selecting a tab;Enfocar automáticamente el contenido al seleccionar una pestaña;
Copy the port along with the address when copying;Copy the port along with the address when copying;Copiar el puerto junto con la dirección al copiar;
Place the close button on the left side to prevent accidental touches;Place the close button on the left side to prevent accidental touches;Ubicar el botón de cerrar a la izquierda para evitar toques accidentales;
Ask for password when open connect;Ask for password when open connect;Pedir contraseña al conectar;
Remember the information above;Remember the information above;Recordar la información anterior;
Quick Connect;Quick Connect;Conexión rápida;
Allow Quick Connect to save entered address information;Allow Quick Connect to save entered address information;Permitir que Conexión Rápida guarde la información ingresada;
Yes;Yes;Sí;
No;No;No;
Click on the icon above to change it to your own image;Click on the icon above to change it to your own image;Hacé clic en el ícono de arriba para cambiarlo por tu propia imagen;
Always open in new window;Always open in new window;Abrir siempre en una nueva ventana;
Set focus to local desktop when the mouse is moved out of RDP desktop;Set focus to local desktop when the mouse is moved out of RDP desktop;Enfocar el escritorio local cuando el mouse salga del escritorio RDP;
Close button behavior;Close button behavior;Comportamiento del botón cerrar;
Minimize to system tray;Minimize to system tray;Minimizar a la bandeja del sistema;
Credentials;Credentials;Credenciales;
Credentials Vault;Credentials Vault;Bóveda de credenciales;
Select credentials within the same database;Select credentials within the same database;Seleccionar credenciales dentro de la misma base de datos;
Reset main window location;Reset main window location;Restablecer ubicación de la ventana principal;
New server;New server;Nuevo servidor;
Delete folder XXXX and move its contents to parent folder;Delete folder `{0}` and move its contents to parent folder?;¿Eliminar la carpeta `{0}` y mover su contenido a la carpeta superior?;
ListViewMode;View;Vista;
ListViewMode_List;List;Lista;
ListViewMode_Card;Card;Tarjeta;
ListViewMode_Tree;Tree;Árbol;
Do not check for new version;;No buscar nuevas versiones;
Do not check for new version;;No buscar nuevas versiones;
