key;en-us
language_code-ISO;en-US
language_code-google;en
language_name;English (en-US)
Warning;Warning
Error;Error
Info;Info
OK;OK
Exit;Exit
Close;Close
Add;Add
Edit;Edit
Save;Save
Save as...;Save as...
Back;Back
Delete;Delete
Cancel;Cancel
Select;Select
Explore to...;Explore to...
Previous;Previous
Next;Next
Done;Done
Reset;Reset
Import;Import
Export;Export
Name;Name
File Name;File Name
Test;Test
Reconnect;Reconnect
Dismiss;Dismiss
Lock;Lock
Always on top;Always on top
Close all;Close all
Rename;Rename
Connect;Connect
Connect (New window);Connect (New window)
Note;Note
Share;Share
Copy;Copy
Enabled;Enabled
Helper;Helper
Preview;Preview
Theme;Theme
Color;Color
Color1;Color1
Color2;Color2
Background;Background
Normal;Normal
Lighter;Lighter
Darker;Darker
Font;Font
Font size;Font size
Themes;Themes
Options;Options
About;About
Language;Language
Startup;Startup
Tags;Tags
Press Enter to add a tag, which is used for grouping servers. By right-clicking on the tags on the homepage, you can filter or pin a specific tag.;Press Enter to add a tag, which is used for grouping servers. By right-clicking on the tags on the homepage, you can filter or pin a specific tag.
Icon;Icon
Hostname;Hostname
Target;Target
Port;Port
User;User
Password;Password
Selected;Selected
Custom;Custom
All;All
Protocol;Protocol
Cameras;Cameras
Upload;Upload
filter_mainwindow;Keywords or '#' + tag name or 'Tab' key
Search (Ctrl+F);Search (Ctrl + F)
hotkey_already_registered;Hot key already been registered
hotkey_registered_fail;Failed to register the hot key
string_permission_denied;Permission denied
file_transmit_host_list_header_last_update;Last update
Type;Type
file_transmit_host_list_header_size;Size
file_transmit_host_message_preview_over_size;This item is over 1 MB, are you sure you want to open it?
file_transmit_host_message_files_download_to;Please select a folder to save to
file_transmit_host_message_files_download_to_dir;Use this folder
file_transmit_host_message_select_files_to_upload;Please select files to upload
file_transmit_host_command_refresh;Refresh (F5)
file_transmit_host_command_create_folder;Create a folder
file_transmit_host_command_upload;Upload (Ctrl + V)
file_transmit_host_command_select_files_upload;Select files to upload
file_transmit_host_command_select_folder_upload;Select a folder to upload
file_transmit_host_command_delete;Delete (Del)
file_transmit_host_command_save_to;Save to... (Ctrl + S)
file_transmit_host_warning_same_names_title;Replace or cancel
file_transmit_host_warning_same_names;The destination has {0} file(s) with the same name(s). Do you want to continue?
host_reconecting_info;Reconnecting...
Toggle Cards/List;Toggle Cards/List
system_options_general_title;General
Run automatically at OS startup;Run automatically at OS startup(minimized)
Confirm before closing;Confirm before closing
Show current session icon instead of the app icon when connected;Show current session icon instead of the app icon when connected
system_options_general_log_file_path;Log file
system_options_quick_match_providers;Keyword-Matchers
Launcher;Launcher
system_options_quick_launcher_enable;Enable the launcher
system_options_quick_launcher_hotkey;Hot key
system_options_data_security_database;Database
Caution: Your data will be saved unencrypted!;Caution: Your data will be saved unencrypted!
system_options_data_security_info_data_processing;Processing data. Do not close the app!
server_card_operate_duplicate;Duplicate
server_card_operate_copy_address;Copy hostname to clipboard
server_card_operate_copy_username;Copy username to clipboard
server_card_operate_copy_password;Copy password to clipboard
confirm_to_delete;Are you sure you want to delete?
confirm_to_delete_selected;Are you sure you want to delete all selected?
import_server_dialog_title;Select a file
import_from_json;import json
import_from_mremoteng_csv;import mRemoteNG csv
import_from_rdp_file;import *.rdp
import_from_sqlite_db;import PRemoteM db
import_done_0_items_added;Imported successfully, {0} item(s) added.
import_failure_with_data_format_error;Error data format!
server_editor_different_options;<different options>
server_editor_bulk_editing;Bulk editing
server_editor_bulk_editing_title;You are editing in bulk:
server_editor_multi_selected_count;Number of selected items:
server_editor_group_title_common;Common
Connection Info;Connection Info
Connection Settings;Connection
server_editor_group_title_display;Display
server_editor_group_title_advantage;Advantage
server_editor_group_title_gateway;RD Gateway Server
server_editor_tags_tag;Can enter multiple, separated by ','
Script before connect;Script before connect
Hide script window;Hide script window(not recommended for script take long time)
Script after disconnected;Script after disconnected
Run bat before connect;Run bat before connect(e.g. run 'C:\OpenSshTunneling.bat')
Run bat after disconnected;Run bat after disconnected(e.g. run 'C:\CloseSshTunneling.bat')
Use private key;Use private key
Private key;Private key
Open SFTP when connected;Open SFTP when connected
Open SFTP;Open SFTP
server_editor_display_full_screen_flag;Full screen remote desktop
server_editor_display_full_screen_flag_window;Disable
server_editor_display_full_screen_flag_full_screen;Enable (single monitor)
server_editor_display_full_screen_flag_all_screens;Enable (multi monitors)
Display the connection bar when use the full screen;Display the connection bar when use the full screen
Pin the connection bar by default;Pin the connection bar by default
New session always use full screen;New session always use full screen
New session use full screen if the last session is full screen;New session use full screen if the last session is full screen
Resolution;Resolution
Fit to window;Fit to window(Supported server: Windows Server 2012 R2 and above)
Custom resolution (stretch);Custom resolution (stretch)
Custom resolution (fixed);Custom resolution (fixed)
Full-screen resolution (stretch);Full-screen resolution (stretch)
Full-screen resolution (fixed);Full-screen resolution (fixed)
Scale;Scale
server_editor_display_rdp_performance;Performance
server_editor_display_rdp_performance_auto;Auto (judged based on connection speed)
server_editor_display_rdp_performance_high;High (32bit color with full feature support)
server_editor_display_rdp_performance_middle;Middle (16bit color with only font smoothing and desktop composition)
server_editor_display_rdp_performance_low;Low (8bit color with no feature support)
server_editor_advantage_admin;For administering a server
server_editor_advantage_resources;Resources
server_editor_advantage_clipboard;Clipboard
server_editor_advantage_key_combinations;Key Combinations
server_editor_advantage_disk_drives;Drives
Drives plug in later;Drives plug in later
server_editor_advantage_sounds;Sounds
server_editor_advantage_sounds_disabled;Disabled
server_editor_advantage_sounds_on_local;Play on local
server_editor_advantage_sounds_on_remote;Play on remote
server_editor_advantage_sound_quality;Sound Quality
server_editor_advantage_sound_quality_dynamic;Dynamic
server_editor_advantage_sound_quality_medium;Medium
server_editor_advantage_sound_quality_high;High
server_editor_advantage_audio_capture;Audio Capture
server_editor_advantage_ports;Ports
server_editor_advantage_printers;Printers
server_editor_advantage_smart_cards;Smart Cards
server_editor_advantage_ssh_version;SSH Version
server_editor_advantage_ssh_startup_auto_command;Auto command
server_editor_advantage_ssh_startup_auto_kitty_session_tip;Use external configuration by selecting a session file path for KiTTY
server_editor_advantage_sftp_startup_path;Startup path
