key;gl-es
language_code-ISO;gl-ES
language_code-google;gl
language_name;Galego(gl-ES)
Warning;Aviso
Error;Erro
Info;Información
OK;OK
Exit;Sair
Close;Pechar
Add;Engadir
Edit;Editar
Save;Gravar
Save as...;Gravar como…
Back;Atrás
Delete;Borrar
Cancel;Cancelar
Select;Seleccionar
Explore to...;Explorar como…
Previous;Anterior
Next;Próximo
Done;Feito
Reset;Reset
Import;Importar
Export;Exportar
Name;Nome
File Name;Nome do arquivo
Test;Test
Reconnect;Reconectar
Dismiss;Rexeitar
Lock;Bloquear
Always on top;Sempre encima
Close all;Pechar todo
Rename;Renomear
Connect;Conectar
Connect (New window);Conectar (nova fiestra)
Note;Nota
Share;Compartir
Copy;Copiar
Enabled;Habilitado
Helper;Axudante
Preview;Vista previa
Theme;Tema
Color;Color
Color1;Color1
Color2;Color2
Background;Fondo
Normal;Normal
Lighter;Brillante
Darker;Escuro
Font;Fonte
Font size;Tamaño da fonte
Themes;Temas
Options;Opcións
About;Sobre
Language;Lingua
Startup;Comezo
Tags;Etiquetas
Press Enter to add a tag, which is used for grouping servers. By right-clicking on the tags on the homepage, you can filter or pin a specific tag.;Pulse Enter para engadir unha etiqueta, que se usa para agrupar servidores. Facendo clic co botón dereito das etiquetas da páxina de inicio, pode filtrar ou pintar unha etiqueta específica.
Icon;Icona
Hostname;Nome do host
Target;Destiño
Port;Porto
User;Usuario
Password;Chave de paso
Selected;Seleccionado
Custom;Personalizado
All;Todos
Protocol;Protocolo
Cameras;Cámaras
Upload;Cargar
filter_mainwindow;Palabras chave ou '#' + etiqueta
Search (Ctrl+F);Procurar (Ctrl + F)
hotkey_already_registered;Atallo xa rexistrado
hotkey_registered_fail;Fallou o rexistro do atallo
string_permission_denied;Permiso denegado
file_transmit_host_list_header_last_update;Última actualización
Type;Tipo
file_transmit_host_list_header_size;Tamaño
file_transmit_host_message_preview_over_size;Este obxecto sobrepasa 1 MB, está seguro de que quere abrilo?
file_transmit_host_message_files_download_to;Por favor, escolle un cartafol onde gardalo
file_transmit_host_message_files_download_to_dir;Usar este cartafol
file_transmit_host_message_select_files_to_upload;Por favor, escolle os arquivos a enviar
file_transmit_host_command_refresh;Actualizar (F5)
Create a folder;Crear un cartafol
file_transmit_host_command_upload;Enviar (Ctrl+V)
file_transmit_host_command_select_files_upload;Escolle os arquivos para enviar
file_transmit_host_command_select_folder_upload;Escolle un cartafol para enviar
file_transmit_host_command_delete;Borrar (Del)
file_transmit_host_command_save_to;Gravar coma…. (Ctrl + S)
file_transmit_host_warning_same_names_title;Reemplazar ou cancelar
file_transmit_host_warning_same_names;O destiño ten {0} arquivo(s) co mesmo nome(s). Queres continuar=
host_reconecting_info;Reconectando…
system_options_general_title;Xeral
Run automatically at OS startup;Executar automáticamente ao inicio do SO(minimized)
Confirm before closing;Confirmar antes de pechar
Show current session icon instead of the app icon when connected;Mostrar a icona da sesión actual en troques da icona da aplicación cuando se conecte
system_options_general_log_file_path;Arquivo do log
system_options_quick_match_providers;Palabras chave  - Coincidentes
Launcher;Lanzador
system_options_quick_launcher_enable;Activar o lanzador
system_options_quick_launcher_hotkey;Atallo
system_options_data_security_database;Base de datos
Caution: Your data will be saved unencrypted!;Atención: os teus datos gardaranse sen cifrar.
system_options_data_security_info_data_processing;Procesando datos. Non peches a aplicación!
Duplicate;Duplicar
server_card_operate_copy_address;Copiar o nome do host ao portapapeis
server_card_operate_copy_username;Copiar o nome do usuario ao portapapeis
server_card_operate_copy_password;Copiar a chave de paso ao portapapeis
confirm_to_delete;Seguro de que queres borrar?
confirm_to_delete_selected;Seguro de que queres borrar todo o seleccionado?
import_server_dialog_title;Escoche un arquivo
import_from_json;dende json
import_from_mremoteng_csv;importar mRemoteNG csv
import_from_rdp_file;importar *.rdp
import_from_sqlite_db;importar PREmoteM db
import_done_0_items_added;Importación completada, {0} obxectos engadidos.
import_failure_with_data_format_error;Error no formato do dato!
server_editor_different_options;<differentes opcións>
server_editor_bulk_editing;Editar en bloque
server_editor_bulk_editing_title;Estás a editar en bloque:
server_editor_multi_selected_count;Número de obxectos escollidos:
server_editor_group_title_common;Común
Connection Info;Conexión
Connection Settings;Conexión
server_editor_group_title_display;Pantalla
server_editor_group_title_advantage;Configuración avanzada
server_editor_group_title_gateway;Porta en enlace do servidor RD
server_editor_tags_tag;Podes meter varios, separados por ','
Script before connect;Script antes de conectar
Hide script window;Agochar a fiestra do script (non recomendado para scripts que levan moito tempo)
Script after disconnected;Script despois de desconectar
Run bat before connect;Executar bat antes de conectar (ex. Executar 'C:\OpenSshTunneling.bat')
Run bat after disconnected;Executar bat despois de desconedctar (ex. Executar 'C:\CloseSshTunneling.bat')
Use private key;Usar chave privada
Private key;Chave privada
Open SFTP when connected;Abrir SFTP cando se conecte
Open SFTP;Abre SFTP
server_editor_display_full_screen_flag;Pantalla completa do escritorio remoto
server_editor_display_full_screen_flag_window;Deshabilitar
server_editor_display_full_screen_flag_full_screen;Habilitar (unha soa pantalla)
server_editor_display_full_screen_flag_all_screens;Habilitar (varios monitores)
Display the connection bar when use the full screen;Mostrar a barra de conexión cando se usa a pantalla completa
Pin the connection bar by default;Fixar a barra de conexión por defecto
New session always use full screen;A nova sesión usa sempre a pantalla completa
New session use full screen if the last session is full screen;A nova sesión usa sempre a pantalla completa se a última sesión foi a pantalla completa
Resolution;Resolución
Fit to window;Axustar á fiestra (servidores soportados: Windows Server 2012 R2 e superiores)
Custom resolution (stretch);Resolución personalizada (estirada)
Custom resolution (fixed);Resolución personalizada (fixa)
Full-screen resolution (stretch);Resoluicón a pantalla completa (estirada)
Full-screen resolution (fixed);Resolución a pantalla completa (fixa)
Scale;Escala
server_editor_display_rdp_performance;Rendimento
server_editor_display_rdp_performance_auto;Auto (basada na velocidade da conexión)
server_editor_display_rdp_performance_high;Alta (color de 32bits con soporte de caracterísiticas completo)
server_editor_display_rdp_performance_middle;Medio (color de 16bits con so fontes suaves e composición do escritorio)
server_editor_display_rdp_performance_low;Baixa (color de 8bits sen soporte de características)
server_editor_advantage_admin;Para administrar un servidor
server_editor_advantage_resources;Recursos
server_editor_advantage_clipboard;Portapapeis
server_editor_advantage_key_combinations;Combiacións de teclas
server_editor_advantage_disk_drives;Unidades
Drives plug in later;Conectar unidades máis tarde
server_editor_advantage_sounds;Sons
server_editor_advantage_sounds_disabled;Deshabilitado
server_editor_advantage_sounds_on_local;Soar en local
server_editor_advantage_sounds_on_remote;Soar en remoto
server_editor_advantage_sound_quality;Calidade de son
server_editor_advantage_sound_quality_dynamic;Dinámico
server_editor_advantage_sound_quality_medium;Medio
server_editor_advantage_sound_quality_high;Alto
server_editor_advantage_audio_capture;Captura de audio
server_editor_advantage_ports;Portos
server_editor_advantage_printers;Impresoras
server_editor_advantage_smart_cards;Tarxetas intelixentes
server_editor_advantage_ssh_version;Versión de SSH
server_editor_advantage_ssh_startup_auto_command;Auto comandos
server_editor_advantage_ssh_startup_auto_kitty_session_tip;Usar configuración externa escollendo un arquivo de sesión para KiTTY
server_editor_advantage_sftp_startup_path;Ruta de inicio
server_editor_gateway_mode;Conexión
server_editor_gateway_mode_automatically_detect;Detectar a configuración da porta de enlace do servidor RD
server_editor_gateway_mode_use_these;Usar a seguinte porta de enlace do servidor RD
server_editor_gateway_mode_do_not_use;Non usar a porta de enlace do servidor RD
server_editor_gateway_server_host_name;Nome do host
server_editor_gateway_logon_method;Método de inicio de sesión
server_editor_gateway_logon_method_psw;Chave de paso
server_editor_gateway_logon_method_smart_card;Tarxeta intelixente
server_editor_gateway_bypass_gateway_for_local_address;Omitir a porta de enlace remota para direccións locais
How to select the specified monitors;Como seleccionar as pantallas especificadas
mstsc.exe mode;modo mstsc.exe
In this mode RDP will start the session in the way mstsc.exe xxxx.rdp in CMD, it can offer more custom parameters.;Neste modo, RDP empezará a sesión do xeito 'mstsc.exe xxxx.rdp' en CMD, pode ofrecer máis parámetros personalizables.
Note: This mode will be automatically enabled if there are 2+ monitors with different display scaling on your PC and you selected the full screen mode.;Ollo: este modo activarase automaticamente se hai 2+ pantallas con diferentes escalas na túa PC e excolles o modo a pantalla completa.
Additional settings;Parámetros adicionais
Preview rdp file;Vista previa do arquivo rdp
Check monitor number;Comprobar número de pantalla
server_editor_remote_app_name;Nome da aplicación
server_editor_remote_app_name_tag;Nome da aplicaciónes (ex. Olá)
server_editor_remote_app_fullname;Ruta da aplicación
server_editor_remote_app_fullname_tag;Ruta completa do exe no servidor (ex. C:\Apps\ola.exe)
about_page_how_to_use;Como se usa
about_page_feedback;Opinións
guidance_introduce;1Remote permíteche abrir unha sesión remota en calquera momento en calquer lugar
guidance_feature_launcher_key;chamar ao lanzador por
guidance_feature_launcher_select;escoller obxecto por
guidance_feature_launcher_connect;conectar por
guidance_feature_launcher_menu;menú por
