key;pl-pl
language_code-ISO;pl-PL
language_code-google;pl
language_name;Polski (pl-PL)
Warning;Uwaga
Error;Błąd
Info;Info
OK;OK
Exit;Wyjście
Close;Zamknij
Add;Dodaj
Edit;Edytuj
Save;Zapisz
Save as...;Zapisz jako...
Back;Cofnij
Delete;Usuń
Cancel;Anuluj
Select;Wybierz
Explore to...;Przeglądaj...
Previous;Poprzedni
Next;Następny
Done;Gotowe
Reset;Resetuj
Import;Import
Export;Eksport
Name;Nazwa
File Name;Nazwa pliku
Test;Test
Reconnect;Połącz ponownie
Dismiss;Odrzuć
Lock;Zablokuj
Always on top;Zawsze na wierzchu
Close all;Zamknij wszystkie
Rename;Zmień nazwę
Connect;Połącz
Connect (New window);Połącz (nowe okno)
Note;Nota
Share;Udostępnij
Copy;Kopiuj
Enabled;Aktywne
Helper;Pomoc
Preview;Podgląd
Theme;Motyw
Color;Kolor
Color1;Kolor1
Color2;Kolor2
Background;Tło
Normal;Normalny
Lighter;Jasny
Darker;Ciemny
Font;Czcionka
Font size;Rozmiar czcionki
Themes;Motywy
Options;Opcje
About;O programie
Language;Język
Startup;Uruchomienie
Tags;Tagi
Press Enter to add a tag, which is used for grouping servers. By right-clicking on the tags on the homepage, you can filter or pin a specific tag.;Naciśnij ENTER, aby dodać znacznik, który służy do grupowania serwerów. Klikając prawym przyciskiem myszy znaczniki na stronie głównej, możesz filtrować lub przypiąć określony znacznik.
Icon;Ikona
Hostname;Nazwa hosta
Target;Cel
Port;Port
User;Użytkownik
Password;Hasło
Selected;Wybrane
Custom;Personalizacja
All;Wszystkie
Protocol;Protokół
Cameras;Kamera
Upload;Wgraj
filter_mainwindow;Słowa kluczowe lub '#' + nazwa tagu
Search (Ctrl+F);Szukaj (CTRL + F)
hotkey_already_registered;Skrót klawiszowy został już przypisany
hotkey_registered_fail;Nie udało się przypisać skrótu klawiszowego
string_permission_denied;Odmowa dostępu
file_transmit_host_list_header_last_update;Ostatnia aktualizacja
Type;Typ
file_transmit_host_list_header_size;Rozmiar
file_transmit_host_message_preview_over_size;Plik ma ponad 1MB, czy na pewno chcesz go otworzyć?
file_transmit_host_message_files_download_to;Wybierz folder do zapisu
file_transmit_host_message_files_download_to_dir;Użyj tego folderu
file_transmit_host_message_select_files_to_upload;Wybierz pliki do wysłania
file_transmit_host_command_refresh;Odśwież (F5)
file_transmit_host_command_create_folder;Utwórz folder
file_transmit_host_command_upload;Wyślij (CTRL + V)
file_transmit_host_command_select_files_upload;Wybierz pliki do wysłania
file_transmit_host_command_select_folder_upload;Wybierz folder do wysłania
file_transmit_host_command_delete;Usuń (DEL)
file_transmit_host_command_save_to;Zapisz... (CTRL + S)
file_transmit_host_warning_same_names_title;Zamień lub anuluj
file_transmit_host_warning_same_names;Punkt docelowy zawiera {0} plik/ów z tą samą nazwą. Czy chcesz kontynuować?
host_reconecting_info;Ponowne łączenie...
Toggle Cards/List;Aktywuj karty/listę
system_options_general_title;Ogólne
Run automatically at OS startup;Uruchom automatycznie przy starcie systemu (zminimalizowany)
Confirm before closing;Potwierdź przed zamknięciem
Show current session icon instead of the app icon when connected;Pokaż aktywne ikonki sesji zamiast ikonek aplikacji gdy połączony
system_options_general_log_file_path;Plik logów
system_options_quick_match_providers;Słowa kluczowe lub '#' + nazwa tagu
Launcher;Aplikacja startowa
system_options_quick_launcher_enable;Włącz aplikację startową
system_options_quick_launcher_hotkey;Skrót klawiszowy
system_options_data_security_database;Baza danych
Caution: Your data will be saved unencrypted!;Uwaga: Twoje dane nie będą kodowane!
system_options_data_security_info_data_processing;Przetwarzanie danych. Nie zamykaj aplikacji!
