key;zh-cn
language_code-ISO;zh-CN
language_code-google;zh-CN
language_name;简体中文 (zh-CN)
Warning;警告
Error;错误
Info;提示
OK;确定
Exit;退出
Close;关闭
Add;添加
Edit;编辑
Save;保存
Save as...;保存到...
Back;返回
Delete;删除
Cancel;取消
Select;选择
Explore to...;定位到...
Previous;上一页
Next;下一页
Done;完成
Reset;重置
Import;导入
Export;导出
Name;名称
File Name;文件名
Test;测试
Reconnect;重新连接
Dismiss;关闭
Lock;锁定
Always on top;置顶
Close all;全部关闭
Rename;重命名
Connect;连接
Connect (New window);连接 (新窗口)
Note;Note
Share;分享
Copy;复制
Enabled;启用
Helper;助手
Preview;预览
Theme;主题
Color;颜色
Color1;主色
Color2;副色
Background;背景色
Normal;常规
Lighter;亮色
Darker;暗色
Font;字体
Font size;字体大小
Themes;主题
Options;设置
About;关于
Language;语言
Startup;启动
Tags;标签
Press Enter to add a tag, which is used for grouping servers. By right-clicking on the tags on the homepage, you can filter or pin a specific tag.;按下回车键添加一个标签，标签用于服务器分组。通过鼠标右键点击主页中的标签可签筛选或固定某个标签。
Icon;图标
Hostname;地址
Target;目标
Port;端口
User;用户名
Password;密码
Selected;选中
Custom;定制
All;全部
Protocol;协议
Cameras;摄像头
Upload;上传
filter_mainwindow;输入关键词或 '#' + 标签名或Tab键
Search (Ctrl+F);搜索 (Ctrl + F)
hotkey_already_registered;快捷键已被占用
hotkey_registered_fail;快捷键注册失败
string_permission_denied;无操作权限
file_transmit_host_list_header_last_update;修改时间
Type;类型
file_transmit_host_list_header_size;大小
file_transmit_host_message_preview_over_size;文件超过 1 MB，确定要打开吗?
file_transmit_host_message_files_download_to;将文件下载到所选文件夹
file_transmit_host_message_files_download_to_dir;选择该文件夹
file_transmit_host_message_select_files_to_upload;请选择要上传的文件
file_transmit_host_command_refresh;刷新(F5)
file_transmit_host_command_create_folder;新建文件夹
file_transmit_host_command_upload;上传(Ctrl + V)
file_transmit_host_command_select_files_upload;选择文件上传
file_transmit_host_command_select_folder_upload;选择文件夹上传
file_transmit_host_command_delete;删除(Del)
file_transmit_host_command_save_to;保存到...(Ctrl + S)
file_transmit_host_warning_same_names_title;替换或跳过
file_transmit_host_warning_same_names;目标包含{0}个同名文件，需要替换吗？
host_reconecting_info;正尝试重新连接...
Toggle Cards/List;切换卡片/列表
system_options_general_title;常规
Run automatically at OS startup;开机自启动(最小化)
Confirm before closing;关闭远程会话前弹窗确认
Show current session icon instead of the app icon when connected;远程桌面开启后显示当前会话的图标
system_options_general_log_file_path;日志文件
system_options_quick_match_providers;关键词匹配器
Launcher;启动器
system_options_quick_launcher_enable;启用
system_options_quick_launcher_hotkey;快捷键
system_options_data_security_database;数据库
