key;zh-tw
language_code-ISO;zh-TW
language_code-google;zh-TW
language_name;正體中文(zh-TW)
Warning;警告
Error;錯誤
Info;信息
OK;確定
Exit;離開
Close;關閉
Add;新增
Edit;編輯
Save;儲存
Save as...;另存新檔...
Back;返回
Delete;刪除
Cancel;取消
Select;選擇
Explore to...;瀏覽至...
Previous;上一頁
Next;下一頁
Done;完成
Reset;重設
Import;匯入
Export;匯出
Name;名稱
File Name;檔案名稱
Test;測試
Reconnect;重新連線
Dismiss;關閉
Lock;鎖定
Always on top;保持在最上層
Close all;全部關閉
Rename;重新命名
Connect;連線
Connect (New window);連線 (開新視窗)
Note;備註
Share;分享
Copy;複製
Enabled;啟用
Helper;助手
Preview;預覽
Theme;主題
Color;顏色
Color1;主要顏色
Color2;輔助顏色
Background;背景顏色
Normal;常规
Lighter;淺色
Darker;深色
Font;字型
Font size;字型大小
Themes;主題
Options;設定
About;關於
Language;語言
Startup;啟動
Tags;標籤
Press Enter to add a tag, which is used for grouping servers. By right-clicking on the tags on the homepage, you can filter or pin a specific tag.;按Enter添加標籤，該標籤用於分組服務器。通過右鍵單擊主頁上的標籤，您可以過濾或固定特定標籤。
Icon;圖示
Hostname;主機名稱
Target;目標
Port;連接埠
User;使用者名稱
Password;密碼
Selected;已選取
Custom;自訂
All;全部
Protocol;協定
Cameras;相機
Upload;上傳
filter_mainwindow;輸入關鍵字或 '#' + 標籤名稱
Search (Ctrl+F);搜尋 (Ctrl + F)
hotkey_already_registered;快捷鍵已被其他應用程式占用
hotkey_registered_fail;快捷鍵綁定失敗
string_permission_denied;沒有存取權限
file_transmit_host_list_header_last_update;修改日期
Type;類型
file_transmit_host_list_header_size;大小
file_transmit_host_message_preview_over_size;檔案超過 1 MB，您確定要繼續開啟嗎？
file_transmit_host_message_files_download_to;將檔案下載到選擇的資料夾
file_transmit_host_message_files_download_to_dir;使用此資料夾
file_transmit_host_message_select_files_to_upload;請選擇要上傳的檔案
file_transmit_host_command_refresh;重新整理 (F5)
Create a folder;新增資料夾
file_transmit_host_command_upload;上傳 (Ctrl + V)
file_transmit_host_command_select_files_upload;上傳檔案
file_transmit_host_command_select_folder_upload;上傳資料夾
file_transmit_host_command_delete;刪除 (Del)
file_transmit_host_command_save_to;儲存到... (Ctrl + S)
file_transmit_host_warning_same_names_title;取代或略過
file_transmit_host_warning_same_names;目標位置已有 {0} 個相同名稱的檔案，要以這些檔案取代嗎？
host_reconecting_info;正在重試連線...
system_options_general_title;一般
Run automatically at OS startup;跟隨作業系統一併啟動(縮小至系統匣)
Confirm before closing;關閉遠端工作階段前顯示確認視窗
Show current session icon instead of the app icon when connected;遠端桌面開啟後顯示目前工作階段的圖示
system_options_general_log_file_path;日誌檔案
system_options_quick_match_providers;關鍵字對應管理
Launcher;啟動器
system_options_quick_launcher_enable;啟用
system_options_quick_launcher_hotkey;快捷鍵
system_options_data_security_database;資料庫
Caution: Your data will be saved unencrypted!;注意：您的數據將以未加密的方式保存！
system_options_data_security_info_data_processing;正在處理資料，請勿關閉應用程式。
Duplicate;建立副本
server_card_operate_copy_address;複製主機名稱或網址到剪貼簿
server_card_operate_copy_username;複製使用者名稱到剪貼簿
server_card_operate_copy_password;複製密碼到剪貼簿
confirm_to_delete;您確定要刪除嗎？
confirm_to_delete_selected;您確定要刪除選取的全部項目嗎？
import_server_dialog_title;選取匯入檔案
import_from_json;從 JSON 檔案
import_from_mremoteng_csv;導入 mRemoteNG csv
import_from_rdp_file;導入*.rdp
import_from_sqlite_db;導入 PRemoteM 資料庫
import_done_0_items_added;已匯入 {0} 筆項目。
import_failure_with_data_format_error;沒有項目被匯入，可能是檔案格式有問題！
server_editor_different_options;<不同的值>
server_editor_bulk_editing;批次編輯
