key,en-us,zh-cn,de-de,fr-fr,pt-br,ja-jp
language_code-ISO,en-US,zh-CN,de-DE,fr-FR,pt-BR,ja-JP
language_code-google,en,zh-CN,de,fr,pt,ja
language_name,English (en-US),简体中文 (zh-CN),Deutsch (de-DE),Français (fr-FR),Portuguese (pt-BR),日本語(ja-JP)
messagebox_title_warning,PRemoteM Warning,PRemoteM 警告,PRemoteM Warnung,PRemoteM Warning,PRemoteM Warning,PRemoteM Warning
messagebox_title_error,PRemoteM Error,PRemoteM 错误,PRemoteM Fehler,PRemoteM Erreur,PRemoteM Error,PRemoteM Error
messagebox_title_info,PRemoteM Info,PRemoteM 提示,PRemoteM Info,PRemoteM Info,PRemoteM Info,PRemoteM Info
OK,OK,确定,OK,OK,OK,OK
Exit,Exit,退出,Beenden,Sortir,Sair,
Close,Close,关闭,Schließen,Fermer,Fechar,
Add,Add,添加,Hinzufügen,Ajouter,Adicionar,
Edit,Edit,编辑,Bearbeiten,Edition,Editar,
Save,Save,保存,Speichern,Sauvegarder,Salvar,
Save as...,Save as...,保存到...,Speichern als...,Sauvegarder sour...,Salvar como...,
Back,Back,返回,Zurück,Retour,Voltar,
Delete,Delete,删除,Löschen,Effacer,Deletar,
Cancel,Cancel,取消,Abbrechen,Annuler,Cancelar,
Select,Select,选择,Auswählen,Selectionner,Selecionar,
Explore to...,Explore to...,定位到...,,Explorer...,Explorar como...,
Previous,Previous,上一页,Zurück,Précédent,Anterior,
Next,Next,下一页,Weiter,Suivant,Próximo,
Done,Done,完成,Fertig,Effectuée,OK,
Reset,Reset,重置,Zurücksetzen,Réinitialiser,Redefinir,
Import,Import,导入,,Importer,Importar,
Export,Export,导出,,Exporter,Exportar,
Name,Name,名称,,Nom,Nome,
File Name,File Name,文件名,Dateiname,Nom de fichier,Nome do arquivo,
Test,Test,测试,,,Teste,
Reconnect,Reconnect,重新连接,Neu verbinden,Reconnecter,Reconectar,
Dismiss,Dismiss,关闭,Schließen,Rejeter,Dispensar,
Lock,Lock,锁定,Sperren,Verrouiller,Bloquear,
Always on top,Always on top,置顶,,Garder au premier plan,Sempre no topo,
Close all,Close all,全部关闭,Alle schließen,Tout fermer,Fechar tudo,
Rename,Rename,重命名,Umbenennen,Renommer,Renomear,
Connect,Connect,连接,Verbinden,Connexion,Conectar,
Connect (New window),Connect (New window),连接 (新窗口),Verbinden (Neues Fenster),Connexion (Nouvelle fenetre),Conectar (Nova janela),
Note,Note,Note,Note,Note,Note,
Share,Share,分享,,,,
Copy,Copy,复制,,,,
filter_mainwindow,Keywords or '#' + tag name,输入关键词或 '#' + 标签名,Schlüsselwörter oder '#' + Tag-Name,Mots-clés ou '#' + nom de tag,Palavras-chave ou '#' + 'nome_da_tag',
Search (Ctrl+F),Search (Ctrl + F),搜索 (Ctrl + F),Suche (STRG + F),Rechercher (Ctrl + F),Procurar (Ctrl + F),
hotkey_already_registered,Hot key already registered,快捷键已被占用,Hotkey bereits registriert,Raccourci clavier déjà enregistré,Tecla de atalho já registrada,
hotkey_registered_fail,Failed to register the hot key,快捷键注册失败,Fehler bei der Hotkey Registrierung,Echec de l'enregistrement du raccourci clavier,Falha ao registrar a tecla de atalho,
string_permission_denied,Permission denied,无操作权限,Zugriff verweigert,Permission refusée,Permissão negada,
All,All,全部,Alle,Tous,Todos,
Protocol,Protocol,协议,Protokoll,,Protocolo,
file_transmit_host_list_header_last_update,Last update,修改时间,Letztes Update,Dernière mise à jour,Última atualização,
file_transmit_host_list_header_type,Type,类型,Typ,,Tipo,
file_transmit_host_list_header_size,Size,大小,Größe,Taille,Tamanho,
file_transmit_host_message_preview_over_size,"This item is over 1 MB, are you sure you want to open it?",文件超过 1 MB，确定要打开吗?,"Das Bild ist über 1 MB groß, wirklich öffnen?","Cet élément fait plus de 1 Mo, est-il sûr de l'ouvrir ?",Este item tem mais de 1 MB. Tem certeza de que quer abrir?,
file_transmit_host_message_files_download_to,Please select a folder to save to,将文件下载到所选文件夹,Bitte wählen Sie den Speicherpfad aus,Veuillez sélectionner un dossier pour enregistrer les fichiers,Selecione uma pasta para salvar,
file_transmit_host_message_files_download_to_dir,Use this folder,选择该文件夹,Den Ordner verwenden,Utiliser ce dossier,Usar esta pasta,
file_transmit_host_message_select_files_to_upload,Please select files to upload,请选择要上传的文件,Bitte die Dateien zum Hochladen auswählen,Veuillez sélectionner les fichiers à télécharger,Selecione os arquivos para fazer o upload,
file_transmit_host_command_refresh,Refresh (F5),刷新(F5),Aktualisieren (F5),Actualiser (F5),Atualizar (F5),
file_transmit_host_command_create_folder,Create a folder,新建文件夹,Ordner erstellen,Créer le dossier,Criar uma nova pasta,
file_transmit_host_command_upload,Upload (Ctrl + V),上传(Ctrl + V),Upload (STRG + V),Télécharger (Ctrl + V),Enviar (Ctrl + V),
file_transmit_host_command_select_files_upload,Select files to upload,选择文件上传,Dateien zum Hochladen auswählen,Sélectionnez les fichiers à télécharger,Selecione os arquivos para fazer o upload,
file_transmit_host_command_select_folder_upload,Select a folder to upload,选择文件夹上传,Ordner zum Hochladen auswählen,Sélectionnez le dossier à télécharger,Selecione uma pasta para fazer o upload,
file_transmit_host_command_delete,Delete (Del),删除(Del),Löschen (ENTF),Supprimer (Suppr),Deletar (Del),
file_transmit_host_command_save_to,Save to... (Ctrl + S),保存到...(Ctrl + S),Speichern nach... (STRG + S),Enregistrer sous ... (Ctrl + S),Salvar como... (Ctrl + S),
file_transmit_host_warning_same_names_title,Replace or cancel,替换或跳过,Austauschen oder abbrechen,Remplacer ou annuler,Substituir ou cancelar,
file_transmit_host_warning_same_names,The destination has {0} file(s) with the same name(s). Do you want to continue?,目标包含{0}个同名文件，需要替换吗？,Das Ziel hat {0} Dateien mit den gleichen Namen. Möchten Sie fortfahren?,La destination contient {0} fichiers portant les mêmes noms. Voulez-vous continuer?,O destino tem {0} arquivo(s) com o(s) mesmo(s) nome(s). Você quer continuar?,
host_reconecting_info,Reconnecting...,正尝试重新连接...,Wiederverbinden...,Reconnexion ...,Reconectando...,
Options,Options,设置,Optionen,,Opções,
About,About,关于,Über,À propos,Sobre,
Toggle Cards/List,Toggle Cards/List,切换卡片/列表,Karten/Liste umschalten,Basculer les Tuiles/Liste,Alternar Cartões/Lista,
system_options_general_title,General,常规,Allgemein,Général,Geral,
Language,Language,语言,Sprache,Langue,Idioma,
Startup,Startup,启动,Start,Commencez,Inicialização,
system_options_general_start_when_win_login,Run automatically at OS startup,开机自启动,Mit dem Betriebssystem starten,Exécuter automatiquement au démarrage du système d'exploitation,Executar automaticamente na inicialização do SO,
system_options_general_start_minimized,Start minimized,启动时最小化到托盘,Minimiert starten,Démarrer minimisé,Iniciar minimizado,
Confirm before closing,Confirm before closing,关闭远程会话前弹窗确认,Bestätigen Sie vor dem Schließen,Confirmer avant de fermer,Confirme antes de fechar,
system_options_general_log_file_path,Log file,日志文件,Logdatei,Fichier journal,Arquivo de LOG,
