,key,en-us,zh-cn,cs-cz,de-de,fr-fr,pt-br,ja-jp,ua-ua
0,language_code-ISO,en-US,zh-CN,cs-CZ,de-DE,fr-FR,pt-BR,ja-JP,uk-UA
1,language_code-google,en,zh-CN,cs,de,fr,pt,ja,uk
2,language_name,English (en-US),简体中文 (zh-CN),čeština,Deutsch (de-DE),Français (fr-FR),Portuguese (pt-BR),日本語(ja-JP),Українська (uk-UA)
3,messagebox_title_warning,PRemoteM Warning,PRemoteM 警告,PRemoteM – varování,PRemoteM Warnung,PRemoteM Warning,PRemoteM Warning,PRemoteM Warning,PRemoteM Увага
4,messagebox_title_error,PRemoteM Error,PRemoteM 错误,PRemoteM – chyba,PRemoteM Fehler,PRemoteM Erreur,PRemoteM Error,PRemoteM Error,PRemoteM Помилка
5,messagebox_title_info,PRemoteM Info,PRemoteM 提示,PRemoteM – informace,PRemoteM Info,PRemoteM Info,PRemoteM Info,PRemoteM Info,PRemoteM Інформація
6,OK,OK,确定,OK,OK,OK,OK,OK,ОК
7,Exit,Exit,退出,Ukončit,Beenden,Sortir,Sair,出口,Вихід
8,Close,Close,关闭,Zavřít,Schließen,Fermer,Fechar,近い,Закрити
9,Add,Add,添加,Přidat,Hinzufügen,Ajouter,Adicionar,追加,Додати
10,Edit,Edit,编辑,Upravit,Bearbeiten,Edition,Editar,編集,Редагувати
11,Save,Save,保存,Uložit,Speichern,Sauvegarder,Salvar,保存,Зберігти
12,Save as...,Save as...,保存到...,Uložit jako…,Speichern als...,Sauvegarder sour...,Salvar como...,名前を付けて保存...,Зберігти як…
13,Back,Back,返回,Zpět,Zurück,Retour,Voltar,戻る,Назад
14,Delete,Delete,删除,Smazat,Löschen,Effacer,Deletar,消去,Видалити
15,Cancel,Cancel,取消,Storno,Abbrechen,Annuler,Cancelar,キャンセル,Відмінити
16,Select,Select,选择,Vybrat,Auswählen,Selectionner,Selecionar,選択する,Виділити
17,Explore to...,Explore to...,定位到...,Prozkoumat v…,Entdecken Sie ...,Explorer...,Explorar como...,探索して...,дослідити на
18,Previous,Previous,上一页,Předchozí,Zurück,Précédent,Anterior,前,Попередній
19,Next,Next,下一页,Další,Weiter,Suivant,Próximo,次,Наступний
20,Done,Done,完成,Hotovo,Fertig,Effectuée,OK,終わり,Успішно
21,Reset,Reset,重置,Resetovat,Zurücksetzen,Réinitialiser,Redefinir,リセット,Скинути
22,Import,Import,导入,Import,Importieren,Importer,Importar,輸入,Імпорт
23,Export,Export,导出,Export,Export,Exporter,Exportar,書き出す,Експорт
24,Name,Name,名称,Název,Name,Nom,Nome,名前,Назва
25,File Name,File Name,文件名,Název souboru,Dateiname,Nom de fichier,Nome do arquivo,ファイル名,Назва файлу
26,Test,Test,测试,Test,Prüfen,Test,Teste,テスト,Тест
27,Reconnect,Reconnect,重新连接,Znovu připojit,Neu verbinden,Reconnecter,Reconectar,再接続,Повторно підключитися
28,Dismiss,Dismiss,关闭,Zahodit,Schließen,Rejeter,Dispensar,解散,Зрозуміло
29,Lock,Lock,锁定,Zamknout,Sperren,Verrouiller,Bloquear,ロック,Заблокувати
30,Always on top,Always on top,置顶,Vždy na vrchu,Immer oben,Garder au premier plan,Sempre no topo,常にトップに,Завжди зверху
31,Close all,Close all,全部关闭,Zavřít vše,Alle schließen,Tout fermer,Fechar tudo,すべて閉じる,Зачинити все
32,Rename,Rename,重命名,Přejmenovat,Umbenennen,Renommer,Renomear,名前を変更,Редагувати назву
33,Connect,Connect,连接,Připojit,Verbinden,Connexion,Conectar,接続,Підключитись
34,Connect (New window),Connect (New window),连接 (新窗口),Připojit (nové okno),Verbinden (Neues Fenster),Connexion (Nouvelle fenetre),Conectar (Nova janela),接続 (新しいウィンドウ),Підключитись (у новому вікні)
35,Note,Note,Note,Poznámka,Note,Note,Note,ノート,Нотатка (Замітка)
36,Share,Share,分享,Sdílet,Teilen,Partager,Compartilhar,シェア,Поділитись
37,Copy,Copy,复制,Zkopírovat,Kopieren,Copie,cópia de,コピー,Скопіювати
38,filter_mainwindow,Keywords or '#' + tag name,输入关键词或 '#' + 标签名,Klíčová slova nebo „#“ + název štítku,Schlüsselwörter oder '#' + Tag-Name,Mots-clés ou '#' + nom de tag,Palavras-chave ou '#' + 'nome_da_tag',filter_mainwindow,Ключові слова або '#' + назва тегу
39,Search (Ctrl+F),Search (Ctrl + F),搜索 (Ctrl + F),Hledat (Ctrl + F),Suche (STRG + F),Rechercher (Ctrl + F),Procurar (Ctrl + F),検索 (Ctrl+F),Пошук (Сtrl + F)
40,hotkey_already_registered,Hot key already registered,快捷键已被占用,Klávesová zkratka už je zaregistrována (pro něco jiného?),Hotkey bereits registriert,Raccourci clavier déjà enregistré,Tecla de atalho já registrada,hotkey_already_registered,Комбінація клавіш вже використовується
41,hotkey_registered_fail,Failed to register the hot key,快捷键注册失败,Klávesovou zkratku se nepodařilo zaregistrovat,Fehler bei der Hotkey Registrierung,Echec de l'enregistrement du raccourci clavier,Falha ao registrar a tecla de atalho,hotkey_registered_fail,Помилка під час реєстрації комбінації клавіш
42,string_permission_denied,Permission denied,无操作权限,Oprávnění odepřeno,Zugriff verweigert,Permission refusée,Permissão negada,string_permission_denied,У дозволі відмовлено
43,All,All,全部,Vše,Alle,Tous,Todos,全て,Всі
44,Protocol,Protocol,协议,Protokol,Protokoll,Protocole,Protocolo,プロトコル,Протокол
45,file_transmit_host_list_header_last_update,Last update,修改时间,Naposledy zaktualizováno,Letztes Update,Dernière mise à jour,Última atualização,file_transmit_host_list_header_last_update,Останнє оновлення
46,file_transmit_host_list_header_type,Type,类型,Typ,Typ,file_transmit_host_list_header_type,Tipo,file_transmit_host_list_header_type,Тип
47,file_transmit_host_list_header_size,Size,大小,Velikost,Größe,Taille,Tamanho,file_transmit_host_list_header_size,Обсяг
