key;en-us;zh-cn;cs-cz;de-de;fr-fr;pt-br;ja-jp;zh-tw;gl-es;pl-pl;ru-ru
language_code-ISO;en-US;zh-CN;cs-CZ;de-DE;fr-FR;pt-BR;ja-JP;zh-TW;gl-ES;pl-PL;ru-RU
language_code-google;en;zh-CN;cs;de;fr;pt;ja;zh-TW;gl;pl;ru
language_name;English (en-US);简体中文 (zh-CN);čeština (cs-CZ);Deutsch (de-DE);Français (fr-FR);Portuguese (pt-BR);日本語(ja-JP);正體中文(zh-TW);Galego(gl-ES);Polski (pl-PL);Русский(ru-RU)
Warning;Warning;警告;varování;Warnung;Warning;Warning;Warning;警告;Aviso;Uwaga;Предупреждение
Error;Error;错误;chyba;Fehler;Erreur;Error;Error;錯誤;Erro;Błąd;Ошибка
Info;Info;提示;informace;Info;Info;Info;Info;信息;Información;Info;Информация
OK;OK;确定;OK;OK;OK;OK;OK;確定;OK;OK;OK
Exit;Exit;退出;Ukončit;Beenden;Sortir;Sair;出口;離開;Sair;Wyjście;Выход
Close;Close;关闭;Zavřít;Schließen;Fermer;Fechar;近い;關閉;Pechar;Zamknij;Закрыть
Add;Add;添加;Přidat;Hinzufügen;Ajouter;Adicionar;追加;新增;Engadir;Dodaj;Добавить
Edit;Edit;编辑;Upravit;Bearbeiten;Edition;Editar;編集;編輯;Editar;Edytuj;Редактировать
Save;Save;保存;Uložit;Speichern;Sauvegarder;Salvar;保存;儲存;Gravar;Zapisz;Сохранить
Save as...;Save as...;保存到...;Uložit jako…;Speichern als...;Sauvegarder sour...;Salvar como...;名前を付けて保存...;另存新檔...;Gravar como…;Zapisz jako...;Сохранить как...
Back;Back;返回;Zpět;Zurück;Retour;Voltar;戻る;返回;Atrás;Cofnij;Назад
Delete;Delete;删除;Smazat;Löschen;Effacer;Deletar;消去;刪除;Borrar;Usuń;Удалить
Cancel;Cancel;取消;Storno;Abbrechen;Annuler;Cancelar;キャンセル;取消;Cancelar;Anuluj;Отмена
Select;Select;选择;Vybrat;Auswählen;Selectionner;Selecionar;選択する;選擇;Seleccionar;Wybierz;Выбирать
Explore to...;Explore to...;定位到...;Prozkoumat v…;Entdecken Sie, um...;Explorer...;Explorar como...;探索して...;瀏覽至...;Explorar como…;Przeglądaj...;Исследуйте, чтобы...
Previous;Previous;上一页;Předchozí;Zurück;Précédent;Anterior;前;上一頁;Anterior;Poprzedni;Предыдущий
Next;Next;下一页;Další;Weiter;Suivant;Próximo;次;下一頁;Próximo;Następny;Следующий
Done;Done;完成;Hotovo;Fertig;Effectuée;OK;終わり;完成;Feito;Gotowe;Выполнено
Reset;Reset;重置;Resetovat;Zurücksetzen;Réinitialiser;Redefinir;リセット;重設;Reset;Resetuj;Перезагрузить
Import;Import;导入;Import;Import;Importer;Importar;輸入;匯入;Importar;Import;Импорт
Export;Export;导出;Export;Export;Exporter;Exportar;輸出;匯出;Exportar;Eksport;Экспорт
Name;Name;名称;Název;Name;Nom;Nome;名前;名稱;Nome;Nazwa;Имя
File Name;File Name;文件名;Název souboru;Dateiname;Nom de fichier;Nome do arquivo;ファイル名;檔案名稱;Nome do arquivo;Nazwa pliku;Имя файла
Test;Test;测试;Test;Testen;Test;Teste;テスト;測試;Test;Test;Тест
